country,year,exports,imports,gdp,net_exports
BEN,1987,238541726.247604,483576069.85602,1562412227.90058,-245034343.60841596
BEN,1988,223654543.994436,519824990.123577,1620246083.79478,-296170446.129141
BEN,1989,202741076.024483,372643204.18197,1502294416.17129,-169902128.157487
BEN,1990,375946888.879365,520152830.045727,1959965330.14765,-144205941.166362
BEN,1991,417201321.36147,602729540.381445,1986437796.53053,-185528219.01997507
BEN,1992,393976833.800645,567957714.399145,1695315305.70308,-173980880.5985
BEN,1993,510965440.104994,748725748.468338,2274558082.76135,-237760308.363344
BEN,1994,452687270.137931,576481296.548688,1598075943.86774,-123794026.41075706
BEN,1995,593804003.901637,790421147.797028,2169627137.9207,-196617143.895391
BEN,1996,625667798.508943,708783072.147658,2361116449.39308,-83115273.63871503
BEN,1997,616436708.452127,715320152.690829,2268301646.46707,-98883444.23870206
BEN,1998,665156777.433206,797921958.790615,2455092686.34712,-132765181.357409
BEN,1999,846151104.586659,1154049285.56866,3677393998.74486,-307898180.98200107
BEN,2000,725304886.00806,941345994.062243,3519991440.47913,-216041108.054183
BEN,2001,728426333.669514,1040788979.38309,3666222635.13875,-312362645.7135761
BEN,2002,827401656.41962,1008395973.11008,4194342686.2178,-180994316.69045997
BEN,2003,997331579.809427,1228828001.90253,5349258094.48239,-231496422.09310293
BEN,2004,1146038651.35219,1324063349.9387,6190270380.49856,-178024698.58650994
BEN,2005,1213941696.92857,1353744164.69901,6567654954.38903,-139802467.77043986
BEN,2006,1270214595.80969,1527581986.81391,7034111314.88812,-257367391.00422
BEN,2007,1800691335.95807,2211437454.14108,8169048382.83875,-410746118.18300986
BEN,2008,2167074921.86083,2509050412.39671,9787734526.23965,-341975490.5358801
BEN,2009,1940710262.92026,2412711824.80475,9738626517.00319,-472001561.88449
BEN,2010,2199999384.41004,2704110554.13018,9535345011.48797,-504111169.72014
BEN,2011,2229520239.76133,2819548392.47123,10693321370.036,-590028152.7098999
BEN,2012,2662421029.99897,2990340505.85322,11141358105.9853,-327919475.85424995
BEN,2013,3451240667.49663,3959347661.46976,12517845127.6775,-508106993.97312975
BEN,2014,4175438842.64093,4495143319.21016,13284527850.2632,-319704476.5692301
BEN,2015,2815204783.12488,3648295538.40033,11388160997.1089,-833090755.2754502
BEN,2016,3263416597.55351,3709467045.40811,11821065852.1271,-446050447.85459995
BEN,2017,3455561020.04159,4352984751.47988,12701655845.9612,-897423731.4382901
BEN,2018,3889962071.46759,4923520740.39052,14262408079.7014,-1033558668.9229302
BEN,2019,4264332525.40811,4900485058.66872,14391686309.033,-636152533.2606101
BEN,2020,3110348693.10499,3906745097.47816,15651545208.8783,-796396404.3731699
BEN,2021,3700554283.81399,4800390732.83206,17690083519.9323,-1099836449.0180697
BEN,2022,3768036593.68594,5095285355.33343,17401746309.2655,-1327248761.6474905
BEN,2023,4170034407.76298,5933708288.47894,19676049075.7011,-1763673880.71596
BFA,1960,16066015.5277735,52340174.6105849,330442815.821186,-36274159.0828114
BFA,1961,19014523.2019842,55303955.6348223,350247234.260712,-36289432.4328381
BFA,1962,20997590.0505315,59614674.60058,379567099.249422,-38617084.5500485
BFA,1963,21985467.8188396,61742268.3762032,394040667.106335,-39756800.5573636
BFA,1964,11484230.663974,47262650.2535327,410321644.964911,-35778419.5895587
BFA,1965,19676611.9401145,48113638.5450975,422916789.7483,-28437026.604983002
BFA,1966,21918943.175302,50541598.8135743,433889766.239436,-28622655.6382723
BFA,1967,22215435.2110641,62777882.9851454,450753923.548048,-40562447.7740813
BFA,1968,28569263.1922709,70389672.7697367,460442689.376378,-41820409.5774658
BFA,1969,27823654.5207813,79074219.5391521,478298645.39382,-51250565.0183708
BFA,1970,25007054.098666,73994563.6000506,458404268.761971,-48987509.5013846
BFA,1971,26587935.4338148,96149801.9274703,482411179.121178,-69561866.4936555
BFA,1972,37028534.9708903,123177198.744168,578595521.990135,-86148663.7732777
BFA,1973,42590341.8561142,154654989.695036,674773569.877548,-112064647.83892179
BFA,1974,62500033.8589196,183824251.385104,751133430.449301,-121324217.52618441
BFA,1975,69071585.0515765,283412263.564162,939972703.463021,-214340678.51258552
BFA,1976,80128162.0284074,263748239.834147,976547188.054778,-183620077.8057396
BFA,1977,90048519.1516871,344381808.822477,1131224878.18865,-254333289.6707899
BFA,1978,110202772.487273,409486698.018833,1475583644.93614,-299283925.53156
BFA,1979,144182061.699373,511997852.931223,1748480620.52397,-367815791.23184997
BFA,1980,172630479.08256,602966202.763916,1928719888.20688,-430335723.681356
BFA,1981,164734426.603165,558238055.717459,1775842333.57042,-393503629.11429393
BFA,1982,143789749.49086,554827918.018955,1754450096.23721,-411038168.528095
BFA,1983,126168356.027405,473268760.693225,1600278605.25465,-347100404.66582
BFA,1984,160016200.325,419829292.408598,1459880132.14107,-259813092.08359802
BFA,1985,154030064.347859,481677816.606485,1552493196.28424,-327647752.258626
BFA,1986,183075138.96731,589940831.90681,2036303357.68113,-406865692.93950003
BFA,1987,269185210.483642,665476421.800553,2369834949.73234,-396291211.316911
BFA,1988,287730449.044585,709757473.822598,2616040478.99309,-422027024.778013
BFA,1989,228834176.818704,618479190.724753,2615587733.97303,-389645013.906049
BFA,1990,340110086.141584,758452847.747612,3101300778.56414,-418342761.606028
BFA,1991,327535406.089611,731992011.58168,3135045584.08387,-404456605.49206907
BFA,1992,296949143.50596,655479337.64673,3356692505.18266,-358530194.14076996
BFA,1993,286407891.48908,661457472.457898,3199536465.23328,-375049580.968818
BFA,1994,269161995.884847,474345780.209323,1895290637.09504,-205183784.324476
BFA,1995,336477084.673808,633116322.197919,2379517975.28056,-296639237.52411103
BFA,1996,273232993.341465,714319725.936988,2586550595.41013,-441086732.595523
BFA,1997,264654980.388452,651175141.155085,2447669101.95178,-386520160.766633
BFA,1998,359254784.850846,789066173.756321,2804902367.14687,-429811388.90547496
BFA,1999,283164589.796073,911820910.542789,3389566712.66037,-628656320.746716
BFA,2000,262543948.165201,780034955.169195,2968370087.59759,-517491007.00399405
BFA,2001,288539801.148718,721473325.285311,3190371080.94768,-432933524.136593
BFA,2002,321134577.559381,813114613.713427,3622350062.96053,-491980036.15404594
BFA,2003,437119286.678813,1002568390.43117,4740768142.67494,-565449103.752357
BFA,2004,593230247.614684,1341080287.75744,5451688537.60959,-747850040.1427561
BFA,2005,604914704.78582,1495427536.1584,6146353173.34929,-890512831.37258
BFA,2006,717391852.668023,1581180859.76353,6547419820.38113,-863789007.095507
BFA,2007,789151147.099085,1786796468.4427,7625722836.76847,-997645321.3436149
BFA,2008,959257099.036903,2385163308.31458,9451435490.11467,-1425906209.277677
BFA,2009,1303153838.06675,2505097431.05636,9450696873.34326,-1201943592.9896097
BFA,2010,2074074305.85765,2887043504.96288,10109619740.6994,-812969199.1052301
BFA,2011,3164493995.57507,3781344358.33878,12080295977.5632,-616850362.76371
BFA,2012,3340989540.70765,4351201289.56268,12561015156.5683,-1010211748.8550301
BFA,2013,3640311286.81321,4968860980.95106,13444300485.8412,-1328549694.1378503
BFA,2014,3755133669.00295,4446645106.4129,13943016076.7436,-691511437.4099498
BFA,2015,3089098213.34422,3902427857.57598,11832159315.6298,-813329644.23176
BFA,2016,3325889850.03121,4103751193.78509,12833363045.3367,-777861343.75388
BFA,2017,3731626300.73619,4629394216.11821,14106955615.3442,-897767915.38202
BFA,2018,4461756780.16476,5166928258.63695,15890066221.2882,-705171478.4721899
BFA,2019,4690831780.11539,4994381288.40906,16032813503.3707,-303549508.2936697
BFA,2020,5632452790.61293,5133679370.81792,17725010532.5268,498773419.79501057
BFA,2021,6460208896.64941,5835051415.32522,19697516284.3787,625157481.3241901
BFA,2022,5974448854.14295,6229310025.11174,18820218690.5948,-254861170.96879005
BFA,2023,5866151263.39551,7308737781.26918,20324617844.5265,-1442586517.8736706
BWA,1960,7990792.36416704,12056283.2161117,30411413.6552828,-4065490.851944659
BWA,1961,8954881.38979759,13992002.1715587,32902612.8664855,-5037120.78176111
BWA,1962,9954224.58693473,15982839.4776135,35644956.6430429,-6028614.890678769
BWA,1963,11044517.794955,18034718.9310025,38091842.8546863,-6990201.136047501
BWA,1964,11990090.0511531,20215849.5048511,41616347.7906865,-8225759.453698
